"filename", "language", "JSON", "JavaScript", "Properties", "Groovy", "Batch", "Objective-C", "C++", "XML", "Java", "comment", "blank", "total"
"/Users/lukemorrice/Optify/app/home/components/utils.js", "JavaScript", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 6, 58
"/Users/lukemorrice/Optify/app/navigation/AppStack.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"/Users/lukemorrice/Optify/app/navigation/AuthStack.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 2, 33
"/Users/lukemorrice/Optify/app/navigation/Navigation.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"/Users/lukemorrice/Optify/app/reducers/AuthReducer.js", "JavaScript", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 4, 60
"/Users/lukemorrice/Optify/app/reducers/GoalsReducer.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"/Users/lukemorrice/Optify/app/reducers/ProfileReducer.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"/Users/lukemorrice/Optify/app/reducers/index.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/lukemorrice/Optify/app/settings/Settings.js", "JavaScript", 0, 121, 0, 0, 0, 0, 0, 0, 0, 0, 12, 133
"/Users/lukemorrice/Optify/app/settings/SettingsContainer.js", "JavaScript", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 7, 63
"/Users/lukemorrice/Optify/app/settings/components/AccountDetails.js", "JavaScript", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 3, 69
"/Users/lukemorrice/Optify/app/settings/components/CategoryItem.js", "JavaScript", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 9, 82
"/Users/lukemorrice/Optify/app/settings/components/CategorySelector.js", "JavaScript", 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 7, 101
"/Users/lukemorrice/Optify/app/settings/components/GoalsSelector.js", "JavaScript", 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 5, 109
"/Users/lukemorrice/Optify/babel.config.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/lukemorrice/Optify/config.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/lukemorrice/Optify/index.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 3, 3, 10
"/Users/lukemorrice/Optify/ios/Optify/AppDelegate.h", "C++", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 4, 9
"/Users/lukemorrice/Optify/ios/Optify/AppDelegate.m", "Objective-C", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 11, 59
"/Users/lukemorrice/Optify/ios/Optify/Base.lproj/LaunchScreen.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 1, 31
"/Users/lukemorrice/Optify/ios/Optify/Images.xcassets/AppIcon.appiconset/Contents.json", "JSON", 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 117
"/Users/lukemorrice/Optify/ios/Optify/Images.xcassets/Contents.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/lukemorrice/Optify/ios/Optify/Images.xcassets/SplashScreenLogo.imageset/Contents.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"/Users/lukemorrice/Optify/ios/Optify/Images.xcassets/logo2-1024.imageset/Contents.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"/Users/lukemorrice/Optify/ios/Optify/main.m", "Objective-C", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 3, 10
"/Users/lukemorrice/Optify/ios/OptifyTests/OptifyTests.m", "Objective-C", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 15, 66
"/Users/lukemorrice/Optify/logos/AppIcon.appiconset/Contents.json", "JSON", 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 117
"/Users/lukemorrice/Optify/metro.config.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 6, 2, 18
"/Users/lukemorrice/Optify/package-lock.json", "JSON", 11134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11135
"/Users/lukemorrice/Optify/package.json", "JSON", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 51
"Total", "-", 11469, 3737, 9, 144, 76, 106, 5, 68, 136, 188, 475, 16413
